video_clip_name,timestamp,class,group_name
Al186fgrAzc,8,fireworks banging,train
VlK33HIImGs,160,orchestra,train
qyHpYRNhSZM,0,"rowboat, canoe, kayak rowing",train
wDcPHVMHWDo,110,playing accordion,train
CARHWCRihbc,130,playing bass guitar,train
yFcYZCdZu2Y,163,playing didgeridoo,train
dGEJJejbxxc,48,playing bassoon,train
v_JleFhOAXI,5,"engine accelerating, revving, vroom",train
UvwRbbwG9vE,190,people crowd,train
VM-U7MyZAck,30,playing bass guitar,train
zw5ZlAQyO6g,110,playing trombone,train
uNpwnR-ni3E,29,"pigeon, dove cooing",train
LFKqpkt8sfY,18,police car (siren),train
W5eOW25vvbw,30,playing bass guitar,train
9J_H_6BMmxk,42,tap dancing,train
RlwDaz9S2tU,10,"race car, auto racing",train
Vj13osgy2M0,20,playing accordion,train
TOdmggWDllg,30,playing accordion,train
STm83fDhyxg,86,playing harpsichord,train
PnF9B_ipllk,108,playing tabla,train
yMiOxqkM26o,8,ambulance siren,train
veHKLwOrdM0,0,"subway, metro, underground",train
5EsHO2_dFkw,30,male singing,train
Idc_9QMkR54,410,driving buses,train
leF7lsGN3Lg,227,playing squash,train
iuFiONKXfUw,220,"motorboat, speedboat acceleration",train
Q1t0d0OrTJE,0,"race car, auto racing",train
O03Xg6CiGkI,160,chainsawing trees,train
-W9fquoJjVU,91,playing trombone,train
E5V8fgwY8m4,0,ambulance siren,train
m7Rduuk4GaQ,96,playing cymbal,train
2GmJKobPYGs,270,people crowd,train
1KuKjf47LW4,30,"vehicle horn, car horn, honking",train
eMCtFxYNoVM,30,"playing marimba, xylophone",train
4l91vxM-JQU,10,police car (siren),train
r-bgX8OI21E,97,tap dancing,train
uboNyJXTRqI,30,helicopter,train
_wQakQ-AC3A,20,"bird chirping, tweeting",train
yJFLmnTkyE4,705,playing didgeridoo,train
A9z0g1HGLo8,30,"pigeon, dove cooing",train
AVsnW9Oqu8A,200,playing flute,train
BK8rx80RgyM,130,playing banjo,train
McpfTWDxL4A,60,"playing violin, fiddle",train
emUVYhqiIhQ,30,playing harpsichord,train
8-dNln5pQKE,30,playing drum kit,train
_1hlHbG5Q1U,62,playing theremin,train
rAxvF-QPjJ4,0,playing tabla,train
7scjezvmE7M,210,"female speech, woman speaking",train
8u5zK2Qyk3o,10,ambulance siren,train
uIg0I7pAjvM,30,"race car, auto racing",train
iIXhwrce-eY,60,playing accordion,train
P8YWfthdiEI,90,ambulance siren,train
0B4Zd7MJYjk,30,"female speech, woman speaking",train
HqPgf8ewa60,12,frog croaking,train
67GZuUxV27w,30,"bird chirping, tweeting",train
8vbw3L9klSs,6,singing bowl,train
So8Bi0l7oTk,31,frog croaking,train
MNmSMhjYLs8,14,playing glockenspiel,train
i4-WWi1LulY,29,frog croaking,train
LXea58WWauA,10,playing drum kit,train
ENwOUpDI1vY,60,playing squash,train
VP8geNEn5wQ,70,fireworks banging,train
nu5kkGqbxl4,40,police car (siren),train
2FKC9GpKN0w,70,playing glockenspiel,train
Lv2hsynWgos,40,basketball bounce,train
-wLl2ZEen2Q,110,people crowd,train
nqroNrJP0Ww,60,helicopter,train
WQdA2vJCiGQ,17,playing trombone,train
pjvfw_nyR2E,27,playing cymbal,train
sNoYUSqsvb8,200,playing drum kit,train
529dD-00h8Y,28,playing tabla,train
2unB-S9JXV8,14,playing harpsichord,train
A0n8hNljwXI,140,playing acoustic guitar,train
FzZWQsCFxog,130,playing accordion,train
W1S58jcY5kY,108,playing bassoon,train
8-wxCl0wLs8,30,"female speech, woman speaking",train
lWG8SRZKUhk,60,driving buses,train
I0R4kGIn5Po,20,playing electric guitar,train
m0jUVt7PdQA,0,tap dancing,train
8nk9xsIutTo,30,people crowd,train
oZoJ26C6LrU,100,police car (siren),train
mpNHgChd5II,80,people crowd,train
alnmSR8z7NE,40,"race car, auto racing",train
9QHY2eTQqww,90,playing accordion,train
o55nd_Qx_s0,187,chainsawing trees,train
AmY_0PlCbAU,90,"rowboat, canoe, kayak rowing",train
Xdmi1GgbpyQ,70,"railroad car, train wagon",train
pR4ZrdFnovY,20,fireworks banging,train
mkZnRjmP-qg,30,frog croaking,train
nB0UM97I-_s,140,playing trombone,train
5tlDjxIa6i0,0,"subway, metro, underground",train
6l1qTc3GiBg,70,playing banjo,train
7LznuiF4Cho,50,driving motorcycle,train
82JA1D4xleE,20,ambulance siren,train
SE6cEizgQ8k,30,ocean burbling,train
P0cpKrMQaq4,604,playing bass guitar,train
nItlRF0xWcs,12,playing bassoon,train
3Mn141TgvEw,130,playing electric guitar,train
I6eTdPG3jo8,47,playing theremin,train
R1OOzVE5_rQ,10,police car (siren),train
XH6fbBSG0P0,40,playing banjo,train
eQ5WScdx-Y8,247,playing bassoon,train
rboo6xCyK-M,80,playing drum kit,train
nahVq-xKeWo,31,singing bowl,train
X_ysm9kIq94,140,"playing marimba, xylophone",train
aF1bY3Q7xnM,29,"engine accelerating, revving, vroom",train
5IoI5r26V9A,30,female singing,train
uiYccCiuetg,420,"female speech, woman speaking",train
md_F4OSSc48,170,playing piano,train
kcDUSf25iiU,152,playing bassoon,train
w5pi0yPbemo,4,basketball bounce,train
15SMY7VasG0,36,"vehicle horn, car horn, honking",train
miOkoD95clY,40,"playing marimba, xylophone",train
cemwc6W5hsE,27,ambulance siren,train
6BYlJtI3UVU,30,helicopter,train
Kq_8i8K4rPo,30,"bird chirping, tweeting",train
Jq123QYJ7iI,2,"rowboat, canoe, kayak rowing",train
P2m-uEOYgCI,0,"vehicle horn, car horn, honking",train
U5KZtFKZypY,84,tap dancing,train
Qf1kOQUosik,2,"vehicle horn, car horn, honking",train
sgYW6Bx5QsI,0,playing clarinet,train
zYn7tlhR3Yk,28,playing bass guitar,train
XLuO_i_L4ho,0,driving motorcycle,train
0-VrTDhkTqM,30,female singing,train
PvnP164MdVM,16,frog croaking,train
AO38lu-n3vs,30,"male speech, man speaking",train
BB64bbkZe80,80,driving motorcycle,train
25dlPKdupl0,30,male singing,train
g_rhxGo4Qs0,140,playing electric guitar,train
Pi-nX8u0fuo,90,playing electric guitar,train
B6d641UMRZw,400,"race car, auto racing",train
gCmNo9OjgVQ,50,playing acoustic guitar,train
rVWR8gS6aQw,40,police car (siren),train
KjJ_sDMrIIo,6,frog croaking,train
v5fePy2J1XU,0,ocean burbling,train
hADYOyDXedc,24,"rowboat, canoe, kayak rowing",train
KzKzBz2dV_c,384,playing glockenspiel,train
DUShpEZz7Sg,41,playing piano,train
l9L7_RaTw6I,60,playing clarinet,train
54eTSUOuFyE,30,playing electric guitar,train
icHwOLcHffU,200,playing glockenspiel,train
iQHP6ZmvABk,665,singing bowl,train
gKmMAsPdAms,26,police car (siren),train
bIV2z1upOYE,30,playing harpsichord,train
F_mA_UQbLA0,20,"subway, metro, underground",train
yEATC0bC8eM,100,playing piano,train
Y4_PPnblHzs,210,people crowd,train
qHHUuvCDWcg,110,playing harp,train
clX4fPaR-w4,20,ocean burbling,train
MGePrjhGlIk,30,"pigeon, dove cooing",train
ljPiYdx_4qw,6,frog croaking,train
yBQAyzqws08,30,"rowboat, canoe, kayak rowing",train
-JdUSVmQq88,30,female singing,train
I9vnUcz5680,30,"female speech, woman speaking",train
EFOGzi_FDNM,160,"race car, auto racing",train
MHS-QSRBm38,80,"bird chirping, tweeting",train
HrNnLrFCrbo,50,people crowd,train
gMeoUqmzLnU,65,singing bowl,train
oNiowUIaPEk,1,singing bowl,train
3qLonLZHtE8,210,playing cymbal,train
AAOcAu6ELFo,15,"race car, auto racing",train
U1sapUc_5Vg,0,playing glockenspiel,train
8RBFFqJn4jw,310,playing saxophone,train
Ysqj3Ppcb0g,409,playing trombone,train
IFi2TjB-DN0,30,"female speech, woman speaking",train
1SqYA6OW3ns,110,chainsawing trees,train
fzX0srFLndk,148,playing bass guitar,train
a04EO5gNfMw,56,playing harpsichord,train
EGAGh17UgzM,10,police car (siren),train
fRjiJpUu1Q8,0,playing saxophone,train
G0GGA400Y78,30,fireworks banging,train
R9q12MjoYFo,4,singing bowl,train
v81GIqyXRIs,30,police car (siren),train
0N0H2HyuUNA,30,"male speech, man speaking",train
9YqP6h2c-RU,10,ambulance siren,train
GuINk7UMOFU,3,playing glockenspiel,train
yc7g0cGr4Rc,75,"rowboat, canoe, kayak rowing",train
0G95vM-n_I8,30,"female speech, woman speaking",train
D-BmCQCzmyU,30,people crowd,train
zFSyug5lq7s,145,basketball bounce,train
1OnO9ra9_ns,63,singing bowl,train
xe3VHl2ELA0,140,fireworks banging,train
Rd0vvOot1eM,80,playing harpsichord,train
3f2g_nfmto4,30,female singing,train
UJ0-jRlb8nk,94,singing bowl,train
oCzX0oJFWPE,295,playing squash,train
SSI1_7U1nfM,121,playing bassoon,train
0-jvBXFUcEw,20,playing acoustic guitar,train
byaaYYPVMEg,4,"vehicle horn, car horn, honking",train
c9KQT4SwsSY,12,playing squash,train
l7RTgupQWcc,30,fireworks banging,train
IMPZAq8cQKY,30,"playing marimba, xylophone",train
Gf_HkF_20io,30,playing accordion,train
3En2hFi_QyM,30,"male speech, man speaking",train
eCcZIjOxn_c,75,playing glockenspiel,train
7LYveJmshBA,50,people crowd,train
Vsve5nA3bSc,30,ambulance siren,train
Ch_VFEol7nY,20,people crowd,train
1y02KwMoXWY,30,female singing,train
