video_clip_name,timestamp,class,group_name
cwzG9KvA--Y,6,air conditioning noise,test
VSHm9Am8usc,17,air conditioning noise,train
1WO1tg3-cD0,45,air conditioning noise,train
IIRg_apJQpQ,226,air conditioning noise,train
ifqgtqeTf-M,5,air conditioning noise,train
yfcWXnkPkfA,25,air conditioning noise,train
Ges-_tfTMec,21,air conditioning noise,train
AhmHEsTXpAI,85,air conditioning noise,train
1yxij2nsbZw,0,air conditioning noise,test
qC9C5ejBrzg,126,air conditioning noise,test
tf3-R3CuQUA,33,air conditioning noise,train
1Mss9uTB_M4,16,air conditioning noise,train
nL4qpf0XGTc,3,air conditioning noise,train
B4lB1TLeOxg,1,air conditioning noise,train
VgGdOFYfBU4,135,air conditioning noise,train
VgGdOFYfBU4,69,air conditioning noise,train
eoepN2RDZqE,8,air conditioning noise,test
0PS64HJzawM,244,air conditioning noise,train
HND8lhdYWmM,136,air conditioning noise,train
z4BpcmujV44,105,air conditioning noise,train
VSHm9Am8usc,6,air conditioning noise,train
NJMTrEbMwng,1,air conditioning noise,train
cdEytWP8M9U,57,air conditioning noise,test
8BWEY-CvafE,67,air conditioning noise,test
L8JrXbpvP9w,88,air conditioning noise,train
EeOZygQkB5Y,19,air conditioning noise,train
epEcY_Jr8IA,215,air conditioning noise,train
smieK7KlMkk,11,air conditioning noise,train
5JhAJduAm6A,15,air conditioning noise,train
FnbhJ-6LE5o,95,air conditioning noise,train
KqEIYizIYsc,266,air conditioning noise,test
WuRFzmTaym8,68,air conditioning noise,train
yH8stCNwUZo,0,air conditioning noise,train
3gWc_-mqlWs,81,air conditioning noise,train
ZB1BKi_jNXw,106,air conditioning noise,train
NyQLtzRw9-0,46,air conditioning noise,test
AkXTp7cusoo,74,air conditioning noise,train
2CIWnYMxFCw,29,air conditioning noise,test
XytlXUn_D6A,77,air conditioning noise,train
IQszXcU_OBI,147,air conditioning noise,test
-wi8kPVJLcw,205,air conditioning noise,test
CTp0IjcFOg8,576,air conditioning noise,test
aG0XYaNIMec,0,air conditioning noise,train
PPFwZJOXDY8,91,air conditioning noise,train
qBcqawqcC3Y,132,air conditioning noise,train
Y9sV6GdT_XM,29,air conditioning noise,train
olD6fUq9L2c,16,air conditioning noise,train
1FJ9_KyDAk0,4,air conditioning noise,train
64EYMGH9zzE,258,air conditioning noise,train
nSiVZkFtL9E,85,air conditioning noise,train
84TRQfpd8n0,52,air conditioning noise,test
EL92_uouM5g,106,air conditioning noise,train
ipMyrDBjkxo,65,air conditioning noise,train
JI5wWcXf8lw,148,air conditioning noise,train
WuRFzmTaym8,53,air conditioning noise,train
YCET7m8asfM,72,air conditioning noise,train
5AmM7Tp4p_8,0,air conditioning noise,test
_5yh8OL5veU,33,air conditioning noise,train
n5_5XBljajc,87,air conditioning noise,train
AMbzlBt-v-8,40,air conditioning noise,train
olD6fUq9L2c,26,air conditioning noise,train
7PZq2oN82yQ,17,air conditioning noise,train
5WhaiX59_Jo,37,air conditioning noise,train
PE0ujuMgJO0,75,air conditioning noise,train
isf7h2nGFGc,48,air conditioning noise,train
83mmLOdwZlA,81,air conditioning noise,train
zBD4JmIPhxA,144,air conditioning noise,train
R9zVpiCCdoI,231,air conditioning noise,train
4UihJb1RVgc,136,air conditioning noise,train
qJJEBEajF1M,17,air conditioning noise,train
zleV5xLzF5c,81,air conditioning noise,train
yDLez3y4304,0,air conditioning noise,train
-cKVrbxrDcU,24,air conditioning noise,train
8eYP0c8aAX0,3,air conditioning noise,train
SQt0fMAmvR8,281,air conditioning noise,train
ejMTol60hJ0,185,air conditioning noise,train
aG0XYaNIMec,20,air conditioning noise,train
6u4xEyKpeSU,1,air conditioning noise,train
ynhfD6099_I,2,air conditioning noise,train
308x4Di55gA,23,air conditioning noise,train
YJWBh32A8N0,97,air conditioning noise,test
Mqlg9NYMidw,11,air conditioning noise,test
5jTkWeRVChc,14,air conditioning noise,train
17cwMjZ3MZs,113,air conditioning noise,test
YFl49mF-cas,16,air conditioning noise,train
ihQiGrQMR3U,6,air conditioning noise,test
067bxk5ZidA,47,air conditioning noise,train
4b2RUt6ZwWM,61,air conditioning noise,train
UtW-oVzM_Eg,11,air conditioning noise,train
-pyc2ddMs2U,122,air conditioning noise,train
5WhaiX59_Jo,71,air conditioning noise,train
zleV5xLzF5c,16,air conditioning noise,train
eCrTU9Iel18,75,air conditioning noise,train
PPFwZJOXDY8,131,air conditioning noise,train
dF5hJHNFJAs,190,air conditioning noise,train
0nSSsDviBb0,68,air conditioning noise,train
BVtnTJLgCSw,187,air conditioning noise,train
QLd4z4LPQC0,0,air conditioning noise,test
eCrTU9Iel18,128,air conditioning noise,train
-4bPiXbovf0,8,air conditioning noise,test
ul3umTtB-Xo,14,air conditioning noise,test
g4lPTEG10tc,20,air conditioning noise,train
GwEpq_KxNyg,0,air conditioning noise,test
VLuerVXFD84,223,air conditioning noise,train
CKTU641d7lE,95,air conditioning noise,train
8BJjZUPr2p0,60,air conditioning noise,train
YJ-mcQU75Nk,11,air conditioning noise,test
52UUFb2uej0,12,air conditioning noise,train
7yGU3YYSV1I,4,air conditioning noise,train
WLEZDT_vGuM,16,air conditioning noise,test
hGA4rvzdesg,38,air conditioning noise,train
iLhJ2bv_GP8,0,air conditioning noise,train
3q5B9hd64DI,124,air conditioning noise,train
3gWc_-mqlWs,57,air conditioning noise,train
fQude3KXkEg,34,air conditioning noise,train
ebWODzgkGZM,6,air conditioning noise,train
KTQig7CKVHU,22,air conditioning noise,train
UTJeVe_H9Dw,41,air conditioning noise,train
JKk1rBAwO1o,137,air conditioning noise,train
L7E5Tv357Ys,40,air conditioning noise,test
7etCpWFLdjM,11,air conditioning noise,train
BD6zXOhQEMQ,6,air conditioning noise,test
X0joRwZHZsE,16,air conditioning noise,train
Y13FNUBmplY,23,air conditioning noise,train
LJ8xszg_bnE,90,air conditioning noise,train
Iy8RcDK9rhE,244,air conditioning noise,train
z5-LFayciG8,247,air conditioning noise,test
ol06eXPnh2Q,25,air conditioning noise,test
8v785WInbC8,35,air conditioning noise,train
NnwZMbjcWfI,2,air conditioning noise,train
xY0-3033mT4,0,air conditioning noise,train
8BJjZUPr2p0,50,air conditioning noise,train
_5UY2jfF-uY,34,air conditioning noise,train
-pyc2ddMs2U,62,air conditioning noise,train
T_cHwVO2Eac,147,air conditioning noise,test
AX56NcvOf8w,273,air conditioning noise,test
Zx1DspJz2IY,77,air conditioning noise,train
wNZ4qj7YXUA,85,air conditioning noise,train
iLhJ2bv_GP8,10,air conditioning noise,train
xY0-3033mT4,35,air conditioning noise,train
9ExTpL2KQHE,382,air conditioning noise,train
KBHROttRHyU,516,air conditioning noise,test
5o73GKzkWfU,2,air conditioning noise,train
3cMrwXYnjd4,26,air horn,train
eTQJQIujf4g,114,air horn,test
vAZcjK1mwuE,4,air horn,train
HGC2Gnq7hX4,0,air horn,train
aHWu9GY1JIs,3,air horn,train
dJeibOjXLKs,389,air horn,train
XT4XDJR-HtQ,57,air horn,test
