video_time,dataset_src,key,url,span,video_id
10.0,vggsound,---g-f_I2yQ_1,https://www.youtube.com/watch?v=---g-f_I2yQ,"[""00:00:01.000"", ""00:00:11.000""]",---g-f_I2yQ
10.0,vggsound,--0PQM4-hqg_30,https://www.youtube.com/watch?v=--0PQM4-hqg,"[""00:00:30.000"", ""00:00:40.000""]",--0PQM4-hqg
10.0,vggsound,--56QUhyDQM_185,https://www.youtube.com/watch?v=--56QUhyDQM,"[""00:03:05.000"", ""00:03:15.000""]",--56QUhyDQM
10.0,vggsound,--5OkAjCI7g_40,https://www.youtube.com/watch?v=--5OkAjCI7g,"[""00:00:40.000"", ""00:00:50.000""]",--5OkAjCI7g
10.0,vggsound,--8puiAGLhs_30,https://www.youtube.com/watch?v=--8puiAGLhs,"[""00:00:30.000"", ""00:00:40.000""]",--8puiAGLhs
10.0,vggsound,--96EN9NUQM_242,https://www.youtube.com/watch?v=--96EN9NUQM,"[""00:04:02.000"", ""00:04:12.000""]",--96EN9NUQM
10.0,vggsound,--9O4XZOge4_30,https://www.youtube.com/watch?v=--9O4XZOge4,"[""00:00:30.000"", ""00:00:40.000""]",--9O4XZOge4
10.0,vggsound,--Aa4M484QM_0,https://www.youtube.com/watch?v=--Aa4M484QM,"[""00:00:00.000"", ""00:00:10.000""]",--Aa4M484QM
10.0,vggsound,--Bu2xe4OSo_430,https://www.youtube.com/watch?v=--Bu2xe4OSo,"[""00:07:10.000"", ""00:07:20.000""]",--Bu2xe4OSo
10.0,vggsound,--CC5pH97q4_4,https://www.youtube.com/watch?v=--CC5pH97q4,"[""00:00:04.000"", ""00:00:14.000""]",--CC5pH97q4
10.0,vggsound,--CC5pH97q4_33,https://www.youtube.com/watch?v=--CC5pH97q4,"[""00:00:33.000"", ""00:00:43.000""]",--CC5pH97q4
10.0,vggsound,--CudrykwoE_67,https://www.youtube.com/watch?v=--CudrykwoE,"[""00:01:07.000"", ""00:01:17.000""]",--CudrykwoE
10.0,vggsound,--CudrykwoE_78,https://www.youtube.com/watch?v=--CudrykwoE,"[""00:01:18.000"", ""00:01:28.000""]",--CudrykwoE
10.0,vggsound,--DTR0_mIGI_11,https://www.youtube.com/watch?v=--DTR0_mIGI,"[""00:00:11.000"", ""00:00:21.000""]",--DTR0_mIGI
10.0,vggsound,--DTR0_mIGI_32,https://www.youtube.com/watch?v=--DTR0_mIGI,"[""00:00:32.000"", ""00:00:42.000""]",--DTR0_mIGI
10.0,vggsound,--EquRwM9IQ_8,https://www.youtube.com/watch?v=--EquRwM9IQ,"[""00:00:08.000"", ""00:00:18.000""]",--EquRwM9IQ
10.0,vggsound,--FenyW2i_4_0,https://www.youtube.com/watch?v=--FenyW2i_4,"[""00:00:00.000"", ""00:00:10.000""]",--FenyW2i_4
10.0,vggsound,--G-wKyj6JQ_30,https://www.youtube.com/watch?v=--G-wKyj6JQ,"[""00:00:30.000"", ""00:00:40.000""]",--G-wKyj6JQ
10.0,vggsound,--HuBNHXu9I_30,https://www.youtube.com/watch?v=--HuBNHXu9I,"[""00:00:30.000"", ""00:00:40.000""]",--HuBNHXu9I
10.0,vggsound,--I3Bjp_ptc_254,https://www.youtube.com/watch?v=--I3Bjp_ptc,"[""00:04:14.000"", ""00:04:24.000""]",--I3Bjp_ptc
10.0,vggsound,--IOqc-XgYo_0,https://www.youtube.com/watch?v=--IOqc-XgYo,"[""00:00:00.000"", ""00:00:10.000""]",--IOqc-XgYo
10.0,vggsound,--L3BCCcGEw_400,https://www.youtube.com/watch?v=--L3BCCcGEw,"[""00:06:40.000"", ""00:06:50.000""]",--L3BCCcGEw
10.0,vggsound,--Lj4Y_96f0_120,https://www.youtube.com/watch?v=--Lj4Y_96f0,"[""00:02:00.000"", ""00:02:10.000""]",--Lj4Y_96f0
10.0,vggsound,--Nrb6rtheE_10,https://www.youtube.com/watch?v=--Nrb6rtheE,"[""00:00:10.000"", ""00:00:20.000""]",--Nrb6rtheE
10.0,vggsound,--PlJNEnf-s_288,https://www.youtube.com/watch?v=--PlJNEnf-s,"[""00:04:48.000"", ""00:04:58.000""]",--PlJNEnf-s
