video_clip_name,timestamp,class,group_name
cwzG9KvA--Y,6,air conditioning noise,train
VSHm9Am8usc,17,air conditioning noise,train
1WO1tg3-cD0,45,air conditioning noise,train
IIRg_apJQpQ,226,air conditioning noise,train
ifqgtqeTf-M,5,air conditioning noise,train
yfcWXnkPkfA,25,air conditioning noise,train
Ges-_tfTMec,21,air conditioning noise,train
AhmHEsTXpAI,85,air conditioning noise,train
1yxij2nsbZw,0,air conditioning noise,train
qC9C5ejBrzg,126,air conditioning noise,train
tf3-R3CuQUA,33,air conditioning noise,train
1Mss9uTB_M4,16,air conditioning noise,train
nL4qpf0XGTc,3,air conditioning noise,train
B4lB1TLeOxg,1,air conditioning noise,train
VgGdOFYfBU4,135,air conditioning noise,train
VgGdOFYfBU4,69,air conditioning noise,train
eoepN2RDZqE,8,air conditioning noise,train
0PS64HJzawM,244,air conditioning noise,train
HND8lhdYWmM,136,air conditioning noise,train
z4BpcmujV44,105,air conditioning noise,train
VSHm9Am8usc,6,air conditioning noise,train
NJMTrEbMwng,1,air conditioning noise,train
cdEytWP8M9U,57,air conditioning noise,train
8BWEY-CvafE,67,air conditioning noise,train
L8JrXbpvP9w,88,air conditioning noise,train
EeOZygQkB5Y,19,air conditioning noise,train
epEcY_Jr8IA,215,air conditioning noise,train
smieK7KlMkk,11,air conditioning noise,train
5JhAJduAm6A,15,air conditioning noise,train
FnbhJ-6LE5o,95,air conditioning noise,train
KqEIYizIYsc,266,air conditioning noise,train
WuRFzmTaym8,68,air conditioning noise,train
yH8stCNwUZo,0,air conditioning noise,train
3gWc_-mqlWs,81,air conditioning noise,train
ZB1BKi_jNXw,106,air conditioning noise,train
NyQLtzRw9-0,46,air conditioning noise,train
AkXTp7cusoo,74,air conditioning noise,train
2CIWnYMxFCw,29,air conditioning noise,train
XytlXUn_D6A,77,air conditioning noise,train
IQszXcU_OBI,147,air conditioning noise,train
-wi8kPVJLcw,205,air conditioning noise,train
CTp0IjcFOg8,576,air conditioning noise,train
aG0XYaNIMec,0,air conditioning noise,train
PPFwZJOXDY8,91,air conditioning noise,train
qBcqawqcC3Y,132,air conditioning noise,train
Y9sV6GdT_XM,29,air conditioning noise,train
olD6fUq9L2c,16,air conditioning noise,train
1FJ9_KyDAk0,4,air conditioning noise,train
64EYMGH9zzE,258,air conditioning noise,train
nSiVZkFtL9E,85,air conditioning noise,train
84TRQfpd8n0,52,air conditioning noise,train
EL92_uouM5g,106,air conditioning noise,train
ipMyrDBjkxo,65,air conditioning noise,train
JI5wWcXf8lw,148,air conditioning noise,train
WuRFzmTaym8,53,air conditioning noise,train
YCET7m8asfM,72,air conditioning noise,train
5AmM7Tp4p_8,0,air conditioning noise,train
_5yh8OL5veU,33,air conditioning noise,train
n5_5XBljajc,87,air conditioning noise,train
AMbzlBt-v-8,40,air conditioning noise,train
olD6fUq9L2c,26,air conditioning noise,train
7PZq2oN82yQ,17,air conditioning noise,train
5WhaiX59_Jo,37,air conditioning noise,train
PE0ujuMgJO0,75,air conditioning noise,train
isf7h2nGFGc,48,air conditioning noise,train
83mmLOdwZlA,81,air conditioning noise,train
zBD4JmIPhxA,144,air conditioning noise,train
R9zVpiCCdoI,231,air conditioning noise,train
4UihJb1RVgc,136,air conditioning noise,train
qJJEBEajF1M,17,air conditioning noise,train
zleV5xLzF5c,81,air conditioning noise,train
yDLez3y4304,0,air conditioning noise,train
-cKVrbxrDcU,24,air conditioning noise,train
8eYP0c8aAX0,3,air conditioning noise,train
SQt0fMAmvR8,281,air conditioning noise,train
ejMTol60hJ0,185,air conditioning noise,train
aG0XYaNIMec,20,air conditioning noise,train
6u4xEyKpeSU,1,air conditioning noise,train
ynhfD6099_I,2,air conditioning noise,train
308x4Di55gA,23,air conditioning noise,train
YJWBh32A8N0,97,air conditioning noise,train
Mqlg9NYMidw,11,air conditioning noise,train
5jTkWeRVChc,14,air conditioning noise,train
17cwMjZ3MZs,113,air conditioning noise,train
YFl49mF-cas,16,air conditioning noise,train
ihQiGrQMR3U,6,air conditioning noise,train
067bxk5ZidA,47,air conditioning noise,train
4b2RUt6ZwWM,61,air conditioning noise,train
UtW-oVzM_Eg,11,air conditioning noise,train
-pyc2ddMs2U,122,air conditioning noise,train
5WhaiX59_Jo,71,air conditioning noise,train
zleV5xLzF5c,16,air conditioning noise,train
eCrTU9Iel18,75,air conditioning noise,train
PPFwZJOXDY8,131,air conditioning noise,train
dF5hJHNFJAs,190,air conditioning noise,train
0nSSsDviBb0,68,air conditioning noise,train
BVtnTJLgCSw,187,air conditioning noise,train
QLd4z4LPQC0,0,air conditioning noise,train
eCrTU9Iel18,128,air conditioning noise,train
-4bPiXbovf0,8,air conditioning noise,train
ul3umTtB-Xo,14,air conditioning noise,train
g4lPTEG10tc,20,air conditioning noise,train
GwEpq_KxNyg,0,air conditioning noise,train
VLuerVXFD84,223,air conditioning noise,train
CKTU641d7lE,95,air conditioning noise,train
8BJjZUPr2p0,60,air conditioning noise,train
YJ-mcQU75Nk,11,air conditioning noise,train
52UUFb2uej0,12,air conditioning noise,train
7yGU3YYSV1I,4,air conditioning noise,train
WLEZDT_vGuM,16,air conditioning noise,train
hGA4rvzdesg,38,air conditioning noise,train
iLhJ2bv_GP8,0,air conditioning noise,train
3q5B9hd64DI,124,air conditioning noise,train
3gWc_-mqlWs,57,air conditioning noise,train
fQude3KXkEg,34,air conditioning noise,train
ebWODzgkGZM,6,air conditioning noise,train
KTQig7CKVHU,22,air conditioning noise,train
UTJeVe_H9Dw,41,air conditioning noise,train
JKk1rBAwO1o,137,air conditioning noise,train
L7E5Tv357Ys,40,air conditioning noise,train
7etCpWFLdjM,11,air conditioning noise,train
BD6zXOhQEMQ,6,air conditioning noise,train
X0joRwZHZsE,16,air conditioning noise,train
Y13FNUBmplY,23,air conditioning noise,train
LJ8xszg_bnE,90,air conditioning noise,train
Iy8RcDK9rhE,244,air conditioning noise,train
z5-LFayciG8,247,air conditioning noise,train
ol06eXPnh2Q,25,air conditioning noise,train
8v785WInbC8,35,air conditioning noise,train
NnwZMbjcWfI,2,air conditioning noise,train
xY0-3033mT4,0,air conditioning noise,train
8BJjZUPr2p0,50,air conditioning noise,train
_5UY2jfF-uY,34,air conditioning noise,train
-pyc2ddMs2U,62,air conditioning noise,train
T_cHwVO2Eac,147,air conditioning noise,train
AX56NcvOf8w,273,air conditioning noise,train
Zx1DspJz2IY,77,air conditioning noise,train
wNZ4qj7YXUA,85,air conditioning noise,train
iLhJ2bv_GP8,10,air conditioning noise,train
xY0-3033mT4,35,air conditioning noise,train
9ExTpL2KQHE,382,air conditioning noise,train
KBHROttRHyU,516,air conditioning noise,train
5o73GKzkWfU,2,air conditioning noise,train
3cMrwXYnjd4,26,air horn,train
eTQJQIujf4g,114,air horn,train
vAZcjK1mwuE,4,air horn,train
HGC2Gnq7hX4,0,air horn,train
aHWu9GY1JIs,3,air horn,train
dJeibOjXLKs,389,air horn,train
XT4XDJR-HtQ,57,air horn,train
5YII4sGTJ6A,83,air horn,train
zW1gBvyYVAk,8,air horn,train
69n9pAfDPTc,18,air horn,train
WT8Skm9fR2Y,9,air horn,train
cAcUuNgYYr4,82,air horn,train
S-97VTLvW80,1,air horn,train
LqEq7TJXS8s,15,air horn,train
XYN90AECIBA,71,air horn,train
uNmvDRHdkwI,16,air horn,train
q-cTmcbbXUc,2,air horn,train
jmH8JABveVk,5,air horn,train
W9CPGD_lR7g,5,air horn,train
jw4u--bLaLM,0,air horn,train
1dMajBXH2PI,19,air horn,train
GAljz_gsNA8,0,air horn,train
oEfooqchQMo,6,air horn,train
IiX_3XnzkKo,1,air horn,train
AFjoHTokpt0,46,air horn,train
km_hVyma2vo,5,air horn,train
uGog-Ck0ZaU,15,air horn,train
QZ0bX9lyDiw,51,air horn,train
g1odp0s5qg0,82,air horn,train
u2JaJScxSZw,6,air horn,train
B8prYj0sbgw,14,air horn,train
uG4Y4HedL60,15,air horn,train
1Z7DSRJk4uU,16,air horn,train
PUQ7VQDo9bA,28,air horn,train
B8prYj0sbgw,0,air horn,train
JBKDFk2o5kI,18,air horn,train
H9A_dftYJrU,0,air horn,train
N7xh3NEVgms,12,air horn,train
CZiZUrFOV_g,137,air horn,train
P_m_FQhNeKo,28,air horn,train
ApuaWFC2lac,11,air horn,train
LP6mfk-pq9I,7,air horn,train
Gh0gZF6SAFk,192,air horn,train
lb88cW8SxQA,7,air horn,train
BCLJAIC0V20,11,air horn,train
HChruX6Mhaw,509,air horn,train
bWTslw2fLwc,1,air horn,train
8tJR7jz18xI,3,air horn,train
vf8cYm5yVy4,26,air horn,train
zDakYRyqnew,30,air horn,train
YaI_jCvezs4,390,air horn,train
70RN67npErE,8,air horn,train
UWu1fydf930,1,air horn,train
x7n7QfBdMGs,1,air horn,train
3Cbt8HuFAAQ,123,air horn,train
UMBLjGLdxEU,6,air horn,train
xV7nHX2RLjQ,153,air horn,train
7bhrOhKM_qI,35,air horn,train
5hi4T4Gp6v4,2,air horn,train
PElZh6YKyz4,1,air horn,train
0raNq797vUA,5,air horn,train
SQkoFk_gnE8,5,air horn,train
rl5zJlrEjRg,0,air horn,train
FJtVcf6sTEU,167,air horn,train
OFr74zI1LBM,0,air horn,train
E6fiNj716-0,4,air horn,train
Tk2GV1Eo-gM,37,air horn,train
Qg1bsG6R6zE,26,air horn,train
766Sa1diUr0,109,air horn,train
9THW8yB2ElE,47,air horn,train
tUXHMTA9c1s,4,air horn,train
nFxm8ivSZLM,12,air horn,train
S-4H26u4PYg,61,air horn,train
U2xEkSL5HI4,38,air horn,train
k8WmxfhrNlo,697,air horn,train
vwKU1Xd_2Ns,26,air horn,train
sw7VlLey6ts,97,air horn,train
m5DdgzxSQSA,21,air horn,train
oUdaubDnyXQ,140,air horn,train
rjued58Yqpc,109,air horn,train
XsG2l5zZn7c,2,air horn,train
mFMdWNtIp5A,11,air horn,train
3Z5ENQVGhPs,13,air horn,train
Br4vjAGbVl0,3,air horn,train
EPmKDRAraCQ,30,air horn,train
sw7VlLey6ts,47,air horn,train
4OEC7Y9k8_4,0,air horn,train
I5f96kvSXzU,4,air horn,train
kd8xqqdEUAs,208,air horn,train
wSb_KND6sa0,29,air horn,train
OFEEkQruU0o,176,air horn,train
mfVMrdmnsqY,91,air horn,train
6l5RWxeju8U,20,air horn,train
2-Ege-WLlgU,46,air horn,train
FJtVcf6sTEU,287,air horn,train
_aLV9QKr6ms,13,air horn,train
BCLJAIC0V20,99,air horn,train
9-N8v-cC0Tg,2,air horn,train
IjyfoA2ClYw,156,air horn,train
YNwgT_8Vniw,18,air horn,train
MInPDok3qRQ,15,air horn,train
YpnHJGqgw6c,45,air horn,train
3sFKRFLsraU,20,air horn,train
-1cRD9GzcFY,0,air horn,train
fjN23DwzgFM,77,air horn,train
W6rogMO6mRg,2,air horn,train
F3mT4K_sX5Y,36,air horn,train
F8LpIV30zlc,15,air horn,train
Br6jiCEE0o0,0,air horn,train
fruUoi4bWvo,18,air horn,train
JHYaFMhZd9M,24,air horn,train
RoxRAG6E8Pw,154,air horn,train
aIKqoPShvNs,70,air horn,train
oION6v48RPk,19,air horn,train
mjhlzNVpnXs,26,air horn,train
QqT-xf5P1cY,6,air horn,train
YU5xdtteA3U,30,air horn,train
7ElKMSpUiPc,28,air horn,train
EANBGesofDE,3,air horn,train
v2vDK9OWxvM,12,air horn,train
7H3_936cWTg,7,air horn,train
0Ph48akpfOE,195,air horn,train
Zov_vT0ryBk,0,air horn,train
VAF9Xk_iZhE,62,air horn,train
RnfuA3yasYY,83,air horn,train
NcDH6UHwXCM,80,air horn,train
pFv-phcvByg,4,air horn,train
S-4H26u4PYg,95,air horn,train
a_kgbg3eDAE,66,air horn,train
at0C_jDBlhM,177,air horn,train
mbVT9tKSUXo,5,air horn,train
RAmJrrujWOI,1,air horn,train
9M3XChzFowA,38,air horn,train
EcDXrePTDl0,33,air horn,train
ozmPF4Kf5BU,86,air horn,train
R6Umgf5Nr_0,0,air horn,train
JLC6xN8gMps,33,air horn,train
w2tz7FKK0yQ,7,air horn,train
r7l5v7X-1lk,56,air horn,train
rqNedWEq9wA,8,air horn,train
XrZcIHyREJ4,2,air horn,train
JX1VAfz4G_4,0,air horn,train
zhHcMqtX-SA,17,air horn,train
xKgDkkiDObA,241,airplane,train
lxMhaNnvtac,9,airplane,train
L1RNSy83jhM,434,airplane,train
UW8nEQ4hA3E,331,airplane,train
LpNMvBsLjpw,320,airplane,train
ypA8TfpdNMo,7,airplane,train
is2gWcJIMek,47,airplane,train
mNcBdnzU71g,81,airplane,train
ut4B4rXBT1c,90,airplane,train
JA_Zv1fm2tY,45,airplane,train
J6mWziOiUL8,2,airplane,train
RW_uc-JkhDk,286,airplane,train
is2gWcJIMek,212,airplane,train
JVYNV1WYhqk,59,airplane,train
Xb4lR5gTec8,57,airplane,train
UlnPRlIiMnQ,117,airplane,train
OArVMTPNm5o,148,airplane,train
kbs7SQMR1ek,248,airplane,train
BdUgCoYxuWo,65,airplane,train
Y8x4eyGCecI,320,airplane,train
MNFMIN8IOXQ,189,airplane,train
Xpi3R5frmGI,203,airplane,train
RpLE_5UDkt4,255,airplane,train
koQF9XsQgjY,203,airplane,train
52qHPcqkv6U,92,airplane,train
IL0hnXdZgZY,227,airplane,train
v-UznGcGFnM,50,airplane,train
j5l1NcxvwVo,292,airplane,train
SuWbWkYLa84,37,airplane,train
qgXzxq6Bugw,151,airplane,train
Ux0An7VlrPk,259,airplane,train
--SvivLlKLU,662,airplane,train
9-np6FEgfcw,183,airplane,train
WvtA8J6HS-U,116,airplane,train
kOKsEt_GWko,514,airplane,train
edaHyeIxzcI,108,airplane,train
IJ_JOEQkYUM,100,airplane,train
ouObIITeoB4,41,airplane,train
W18cuvltgD0,39,airplane,train
Vk0K6WAPAB0,29,airplane,train
UrXP6SGOsCU,22,airplane,train
wiviKmh8UvI,552,airplane,train
RQ95RtzIBYc,25,airplane,train
IpMNmAu9i7w,180,airplane,train
RVuFPjsXckI,300,airplane,train
ZedCPKaacjU,326,airplane,train
nGHdODzENL0,179,airplane,train
Nc9Z5NJzE4s,1,airplane,train
Af2NzAL1yNE,300,airplane,train
VoXT7FNcQBs,62,airplane,train
tmpG8tXQT0U,3,airplane,train
pni_pbOyHN8,462,airplane,train
iojt4cbNovM,105,airplane,train
VMSTzfF3udY,196,airplane,train
ypOsKvNYDL4,219,airplane,train
FOIr3YDU9p8,486,airplane,train
mSu1h_SGY_4,0,airplane,train
4vvcVmWn0Vo,79,airplane,train
u0ocLXzs85Y,90,airplane,train
JQr-BRXrjN4,2,airplane,train
L1RNSy83jhM,188,airplane,train
A2iXoFipFk8,63,airplane,train
etqj7OB0hhY,226,airplane,train
MUgo4GloKw0,314,airplane,train
dOQfuOw6okA,381,airplane,train
qFZIpNNODqk,74,airplane,train
GNm3B8o3dds,182,airplane,train
roLyaJegFg0,37,airplane,train
yVXkR4Z4GSg,171,airplane,train
2LFqYNmYxtI,286,airplane,train
nzR2nLqT4mM,94,airplane,train
4UawwYGCHws,199,airplane,train
UTPT1WEZpZI,71,airplane,train
PkUH4erhyLY,228,airplane,train
pwdyVsmNeSs,1,airplane,train
YGKQHjhOkN4,64,airplane,train
qxnBcZ0CETg,171,airplane,train
kps82JmgoVg,74,airplane,train
IFlVLHua0x8,175,airplane,train
V98j_k0eg2g,16,airplane,train
O0h-A0msFk0,278,airplane,train
VTrFHIP2wIA,26,airplane,train
JGk6WRlCymU,577,airplane,train
-jGeejphq3Q,1,airplane,train
mGbzcTD69A8,6,airplane,train
CrM8_93bKhY,233,airplane,train
l7dl6MqoKrU,94,airplane,train
xeVx0LF7G24,261,airplane,train
IhyMewcj0yQ,499,airplane,train
kVjcZ5Z0ZKA,40,airplane,train
ivJmbhteIKE,28,airplane,train
IZu3c1eNw2Y,12,airplane,train
