video_clip_name,timestamp,class,group_name
-u-40BIU1HE,3,cat hissing,train
AHIV0RMwnN8,210,tap dancing,train
zY_gApMrhb0,84,tap dancing,train
r-5NCjm4GlQ,53,tap dancing,train
krghmEqeJtU,122,tap dancing,train
h6YMk2FOHHM,17,tap dancing,train
UyCw7pCgYg8,55,tap dancing,train
7j8DS1YoQwQ,169,tap dancing,train
D1VQAb8CfWM,8,cat hissing,train
-NwBdmVSg1w,0,cat hissing,train
AHIV0RMwnN8,150,tap dancing,train
JVjDa0NmfeE,196,cat hissing,train
HKhBeY4I830,9,cat hissing,train
RoS465ZH1lg,13,cat hissing,train
lMms5mWwXjw,162,tap dancing,train
D1VQAb8CfWM,22,cat hissing,train
D1VQAb8CfWM,22,cat hissing,train
Wx0Aw9na7Jo,7,cat hissing,train
P4x12uMeVVc,86,tap dancing,train
dIzQVYDYtKA,8,tap dancing,train
2ro_sQ7_vUM,24,cat hissing,train
_QsEc34hEik,53,tap dancing,train
D1VQAb8CfWM,8,cat hissing,train
2kQCMxf0onU,36,cat hissing,train
vEvvRfuVk30,108,cat hissing,train
4BUKAcdGfaI,9,tap dancing,train
190Zx0wVrhQ,3,cat hissing,train
HhvCh6gOZS8,372,cat hissing,train
AHIV0RMwnN8,150,tap dancing,train
EyEVKlDZtrw,25,tap dancing,train
MPW-geOjDG4,197,tap dancing,train
fPV1g05NMfE,78,tap dancing,train
g-FzdV9ZTJQ,18,cat hissing,train
ywS3pG7yQfg,161,tap dancing,train
AHIV0RMwnN8,210,tap dancing,train
dIzQVYDYtKA,85,tap dancing,train
2qAlWm3NES8,34,tap dancing,train
2PHV2xNjGVU,126,tap dancing,train
Wx0Aw9na7Jo,7,cat hissing,train
13W_9xdaOZE,68,tap dancing,train
-Q3MX7Tgx_E,111,cat hissing,train
HqHNS2jKgu8,115,cat hissing,train
CSEWnDLoCNA,21,cat hissing,train
wGcq9cUby6A,44,tap dancing,train
29dwfsI1XlQ,6,cat hissing,train
Wx0Aw9na7Jo,34,cat hissing,train
u0Ys0J4rvFQ,23,cat hissing,train
-u-40BIU1HE,3,cat hissing,train
2ASyuuVhr6M,52,cat hissing,train
2K5Px-N6BEI,447,cat hissing,train
JVjDa0NmfeE,12,cat hissing,train
Wx0Aw9na7Jo,34,cat hissing,train
JVjDa0NmfeE,12,cat hissing,train
30jlal45IKo,97,cat hissing,train
JVjDa0NmfeE,196,cat hissing,train
61d0zvVfnVA,140,tap dancing,test
2KEg1a42Wx0,288,cat hissing,test
8ERVM9Uv6hk,102,tap dancing,test
FfwAkXR6JMc,25,cat hissing,test
4z8HTrCvEsc,97,tap dancing,test
VaqR7OOMHSM,33,cat hissing,test
4z8HTrCvEsc,12,tap dancing,test
dIzQVYDYtKA,8,tap dancing,test
Le2MGWRa_SE,30,cat hissing,test
rXHHLtG_iGQ,562,tap dancing,test
dIzQVYDYtKA,85,tap dancing,test
5DN1Q9s5B20,30,cat hissing,test
pljrosvt-o8,17,cat hissing,test
B1vY4Y0MTq8,74,cat hissing,test
ooi_oagj_j8,43,tap dancing,test
_Oq8cy6T4KA,91,tap dancing,test
sFhwuCH4-J8,200,tap dancing,test
ji4meumtHT4,30,cat hissing,test
tgPq6ApMOWk,28,cat hissing,eval
4z8HTrCvEsc,12,tap dancing,eval
4z8HTrCvEsc,97,tap dancing,eval
ryWnOaICR80,14,cat hissing,eval
k9bi4ygv1m0,33,cat hissing,eval
YDpyBLAg2Ps,280,tap dancing,eval
