video_clip_name,class,Xmin,Ymin,Xmax,Ymax
zpWuikVorYg_000032,elk bugling,0.403125,0.253125,0.6,0.75
gEvCUcZ6w88_000030,"female speech, woman speaking",0.45,0.190625,0.584375,0.47812499999999997
JIemsK_0lXc_000364,playing bass drum,0.03125,0.3625,0.36875,0.9875
RgyqhpOJFM4_000030,playing cello,0.396875,0.021875,0.6875,0.99375
3MUeg3nD2OU_000120,playing acoustic guitar,0.303125,0.0,0.953125,1.0
iUtE4nRvBsM_000040,people coughing,0.29375,0.03125,0.73125,0.578125
1cxvg7qu0G0_000070,lighting firecrackers,0.025,0.271875,0.38125000000000003,0.85625
16CvcIXIjzQ_000332,chinchilla barking,0.278125,0.003125,0.8500000000000001,0.59375
gg6yoeBoYxg_000000,children shouting,0.13125,0,1.0,0.31875
ORaz32CQ29k_000130,coyote howling,0.121875,0.171875,0.6,0.853125
EIzBD62ja8E_000030,playing acoustic guitar,0.396875,0.090625,0.69375,0.959375
XR7vOriQ9VY_000194,airplane,0.0,0.06875,0.9625,0.934375
ZoameGbMVt8_000110,chainsawing trees,0.48125,0.634375,0.83125,0.8625
4Q1DDOpej1o_000000,male singing,0.396875,0.121875,0.671875,0.621875
RDG7jY7P_8M_000088,penguins braying,0.771875,0.478125,0.9937499999999999,0.74375
m4emitvY_Dg_000178,tractor digging,0.034375,0.00625,0.5843750000000001,0.515625
UyCw7pCgYg8_000055,tap dancing,0.503125,0.403125,0.6468750000000001,0.6625000000000001
LEUkbkdBupE_000004,playing castanets,0.209375,0.025,0.853125,0.896875
IYllzXfvkmY_000020,people coughing,0.3625,0.165625,0.784375,0.975
bxKdKUZP41Y_000030,playing zither,0.00625,0.64375,0.990625,0.984375
PWLeqsU7nUI_000073,train wheels squealing,0,0.025,0.725,0.9875
Iy2HaWAAnvQ_000173,train whistling,0.1625,0.05625,0.7687499999999999,0.859375
JFJuEOZx1K4_000160,playing bass guitar,0.340625,0.253125,0.9750000000000001,0.9781249999999999
mSHxFybELNY_000030,playing cornet,0.18125,0.4,0.55625,0.659375
K0Y8oGYR7lw_000010,disc scratching,0.115625,0.090625,0.93125,0.678125
e5aCQbqUY9I_000000,"donkey, ass braying",0.44375,0.065625,0.8,0.6875
fqZlpAZ4RkQ_000193,chimpanzee pant-hooting,0.76875,0.2875,0.99375,0.840625
3H3261x-QgI_000030,goat bleating,0.3,0.296875,0.9750000000000001,0.71875
v_oFiTzjGN8_000010,skidding,0.325,0.375,0.628125,0.546875
SJrVTQPbMXs_000016,"fly, housefly buzzing",0.134375,0.14375,0.81875,0.8656250000000001
ha8lvNZ7n7c_000046,playing oboe,0.478125,0.425,0.596875,0.9906250000000001
GvRM_UnjJoE_000030,horse clip-clop,0.240625,0.459375,0.7375,0.99375
ekxnklqMf8c_000048,missile launch,0.403125,0.00625,0.55625,0.12187500000000001
49PCE6AXrGw_000030,cow lowing,0.040625,0.13125,0.69375,0.90625
g3J2VYx8zYE_000060,train whistling,0.221875,0.096875,0.996875,0.721875
z6pCw302VWc_000098,alarm clock ringing,0.440625,0.128125,0.9750000000000001,0.8843749999999999
6wRJg4fbELE_000196,bull bellowing,0.559375,0.3875,0.9874999999999999,0.9937499999999999
HmqjTIXdF5Y_000004,penguins braying,0.0875,0.315625,0.39375000000000004,0.50625
